Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,-,-,-,-,-,-,-,-,4,2015,-,-,25,2001
2,-,-,-,-,-,-,-,-,-,-,3,1983,-,-,13,1989
3,-,-,-,-,-,-,-,-,-,-,3,1995,-,-,11,1995
4,-,-,-,-,-,-,-,-,-,-,3,2001,-,-,11,2015
5,-,-,-,-,-,-,-,-,-,-,3,2003,-,-,10,1983
6,-,-,-,-,-,-,-,-,-,-,2,1964,-,-,8,1955
7,-,-,-,-,-,-,-,-,-,-,2,1969,-,-,7,1969
8,-,-,-,-,-,-,-,-,-,-,2,1989,-,-,7,2018
9,-,-,-,-,-,-,-,-,-,-,2,2010,-,-,6,1964
10,-,-,-,-,-,-,-,-,-,-,2,2021,-,-,6,1991
11,-,-,-,-,-,-,-,-,-,-,1,1953,-,-,5,1965
12,-,-,-,-,-,-,-,-,-,-,1,1955,-,-,5,2000
13,-,-,-,-,-,-,-,-,-,-,1,1961,-,-,5,2010
14,-,-,-,-,-,-,-,-,-,-,1,1965,-,-,5,2012
15,-,-,-,-,-,-,-,-,-,-,1,1973,-,-,4,1961
16,-,-,-,-,-,-,-,-,-,-,1,1976,-,-,4,2003
17,-,-,-,-,-,-,-,-,-,-,1,1984,-,-,4,2005
18,-,-,-,-,-,-,-,-,-,-,1,1991,-,-,2,1984
19,-,-,-,-,-,-,-,-,-,-,1,2000,-,-,2,2021
20,-,-,-,-,-,-,-,-,-,-,1,2005,-,-,1,1953
21,-,-,-,-,-,-,-,-,-,-,1,2012,-,-,1,1973
22,-,-,-,-,-,-,-,-,-,-,1,2013,-,-,1,1976
23,-,-,-,-,-,-,-,-,-,-,1,2018,-,-,1,2013
24,-,-,-,-,-,-,-,-,-,-,1,2024,-,-,1,2024
