Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,0,1954,12,2013,0,1954,139,1990,-,-,-,-,-,-,-,-
2,0,1959,11,1990,0,1959,97,1996,-,-,-,-,-,-,-,-
3,0,1969,10,2000,0,1969,96,1989,-,-,-,-,-,-,-,-
4,0,1974,9,1964,0,1974,85,1983,-,-,-,-,-,-,-,-
5,0,1982,9,1996,0,1982,66,1995,-,-,-,-,-,-,-,-
6,0,1986,8,1976,0,1986,63,2013,-,-,-,-,-,-,-,-
7,0,1987,8,1983,0,1987,58,1992,-,-,-,-,-,-,-,-
8,0,1988,7,1963,0,1988,57,2000,-,-,-,-,-,-,-,-
9,0,1994,7,1989,0,1994,50,2017,-,-,-,-,-,-,-,-
10,0,1997,7,1992,0,1997,44,1973,-,-,-,-,-,-,-,-
11,0,2001,7,2017,0,2001,42,1963,-,-,-,-,-,-,-,-
12,0,2002,6,1975,0,2002,42,1967,-,-,-,-,-,-,-,-
13,0,2006,6,1984,0,2006,39,1968,-,-,-,-,-,-,-,-
14,0,2011,5,1958,0,2011,39,2021,-,-,-,-,-,-,-,-
15,0,2012,5,1995,0,2012,38,1976,-,-,-,-,-,-,-,-
16,0,2015,5,2008,0,2015,38,1977,-,-,-,-,-,-,-,-
17,0,2020,5,2022,0,2020,30,1955,-,-,-,-,-,-,-,-
18,0,2023,4,1956,0,2023,30,1984,-,-,-,-,-,-,-,-
19,1,1965,4,1961,1,1965,29,1964,-,-,-,-,-,-,-,-
20,1,1971,4,1968,1,1971,29,2008,-,-,-,-,-,-,-,-
21,1,1979,4,1973,1,1985,-,-,-,-,-,-,-,-,-,-
22,1,1981,4,1977,1,2003,-,-,-,-,-,-,-,-,-,-
23,1,1985,4,2021,1,2005,-,-,-,-,-,-,-,-,-,-
24,1,1991,-,-,1,2007,-,-,-,-,-,-,-,-,-,-
25,1,2003,-,-,1,2019,-,-,-,-,-,-,-,-,-,-
26,1,2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,1,2007,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,1,2010,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,1,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,1,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,1,2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-
