Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,0,1960,15,1967,0,1960,124,1967,-,-,-,-,-,-,-,-
2,0,1987,14,2022,0,1987,116,2021,-,-,-,-,-,-,-,-
3,0,1991,13,1979,0,1991,107,2007,-,-,-,-,-,-,-,-
4,0,1992,11,2007,0,1992,90,2008,-,-,-,-,-,-,-,-
5,0,1993,10,1962,0,1993,84,1996,-,-,-,-,-,-,-,-
6,0,1998,9,1959,0,1998,77,1962,-,-,-,-,-,-,-,-
7,0,1999,9,2003,0,1999,77,1965,-,-,-,-,-,-,-,-
8,0,2002,9,2008,0,2002,77,1979,-,-,-,-,-,-,-,-
9,0,2005,9,2021,0,2005,69,2022,-,-,-,-,-,-,-,-
10,0,2010,8,1966,0,2010,65,1989,-,-,-,-,-,-,-,-
11,0,2012,8,1988,0,2012,61,1970,-,-,-,-,-,-,-,-
12,0,2016,7,1956,0,2016,60,1966,-,-,-,-,-,-,-,-
13,0,2017,7,1965,0,2017,58,1959,-,-,-,-,-,-,-,-
14,0,2024,7,1989,0,2024,50,1994,-,-,-,-,-,-,-,-
15,0,2026,7,1996,0,2026,47,1963,-,-,-,-,-,-,-,-
16,1,1954,7,2015,1,1954,42,1955,-,-,-,-,-,-,-,-
17,1,1961,7,2019,1,1964,42,2003,-,-,-,-,-,-,-,-
18,1,1964,6,1955,1,1971,37,1982,-,-,-,-,-,-,-,-
19,1,1971,6,1963,1,1997,35,1956,-,-,-,-,-,-,-,-
20,1,1983,6,1970,2,1961,34,1974,-,-,-,-,-,-,-,-
21,1,1986,6,1974,2,1977,34,2015,-,-,-,-,-,-,-,-
22,1,1997,6,2014,2,1983,-,-,-,-,-,-,-,-,-,-
23,1,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,1,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-
