Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,0,2001,23,1966,0,2001,257,1966,-,-,-,-,-,-,-,-
2,1,1958,20,1996,1,2012,222,1982,-,-,-,-,-,-,-,-
3,1,1983,19,1982,2,1958,217,1996,-,-,-,-,-,-,-,-
4,1,2006,16,1954,2,2006,151,1963,-,-,-,-,-,-,-,-
5,1,2012,16,1971,2,2021,146,1994,-,-,-,-,-,-,-,-
6,1,2021,15,1969,4,1983,142,1972,-,-,-,-,-,-,-,-
7,2,1981,14,1957,6,1981,142,2004,-,-,-,-,-,-,-,-
8,2,1987,14,1974,7,2000,137,1954,-,-,-,-,-,-,-,-
9,2,1990,14,2004,7,2018,137,1957,-,-,-,-,-,-,-,-
10,2,1998,13,1972,8,2002,133,1965,-,-,-,-,-,-,-,-
11,2,2020,13,1977,9,2020,127,1968,-,-,-,-,-,-,-,-
12,3,1953,13,2014,13,1987,126,2014,-,-,-,-,-,-,-,-
13,3,1975,13,2022,13,1990,125,1962,-,-,-,-,-,-,-,-
14,3,1992,12,1962,13,2016,124,1970,-,-,-,-,-,-,-,-
15,3,2002,12,1965,14,1964,118,1977,-,-,-,-,-,-,-,-
16,3,2003,12,1994,15,2024,113,1974,-,-,-,-,-,-,-,-
17,3,2015,11,1963,17,2010,110,2005,-,-,-,-,-,-,-,-
18,3,2018,10,1959,18,1986,105,1971,-,-,-,-,-,-,-,-
19,4,1955,10,1978,18,1995,104,1969,-,-,-,-,-,-,-,-
20,4,1964,9,1968,19,2015,95,1978,-,-,-,-,-,-,-,-
21,4,1984,9,1970,-,-,-,-,-,-,-,-,-,-,-,-
22,4,1986,9,1976,-,-,-,-,-,-,-,-,-,-,-,-
23,4,1988,9,1979,-,-,-,-,-,-,-,-,-,-,-,-
24,4,2000,9,1980,-,-,-,-,-,-,-,-,-,-,-,-
25,4,2010,9,1997,-,-,-,-,-,-,-,-,-,-,-,-
26,4,2016,9,2005,-,-,-,-,-,-,-,-,-,-,-,-
27,4,2023,9,2008,-,-,-,-,-,-,-,-,-,-,-,-
28,4,2024,9,2009,-,-,-,-,-,-,-,-,-,-,-,-
29,4,2025,9,2019,-,-,-,-,-,-,-,-,-,-,-,-
