Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,-,-,-,-,-,-,-,-,7,2007,-,-,42,2007
2,-,-,-,-,-,-,-,-,-,-,5,2026,-,-,39,2026
3,-,-,-,-,-,-,-,-,-,-,4,1955,-,-,22,1975
4,-,-,-,-,-,-,-,-,-,-,4,1966,-,-,18,1955
5,-,-,-,-,-,-,-,-,-,-,4,2012,-,-,17,1966
6,-,-,-,-,-,-,-,-,-,-,3,1975,-,-,16,2005
7,-,-,-,-,-,-,-,-,-,-,3,2010,-,-,14,2011
8,-,-,-,-,-,-,-,-,-,-,2,1957,-,-,13,1998
9,-,-,-,-,-,-,-,-,-,-,2,1960,-,-,11,1981
10,-,-,-,-,-,-,-,-,-,-,2,1963,-,-,11,2012
11,-,-,-,-,-,-,-,-,-,-,2,1981,-,-,10,2020
12,-,-,-,-,-,-,-,-,-,-,2,1989,-,-,9,2010
13,-,-,-,-,-,-,-,-,-,-,2,1998,-,-,8,1957
14,-,-,-,-,-,-,-,-,-,-,2,2002,-,-,8,2002
15,-,-,-,-,-,-,-,-,-,-,2,2005,-,-,8,2016
16,-,-,-,-,-,-,-,-,-,-,2,2006,-,-,8,2022
17,-,-,-,-,-,-,-,-,-,-,2,2011,-,-,7,1983
18,-,-,-,-,-,-,-,-,-,-,2,2015,-,-,7,2018
19,-,-,-,-,-,-,-,-,-,-,2,2020,-,-,6,1989
20,-,-,-,-,-,-,-,-,-,-,1,1954,-,-,5,1963
21,-,-,-,-,-,-,-,-,-,-,1,1958,-,-,5,1969
22,-,-,-,-,-,-,-,-,-,-,1,1964,-,-,-,-
23,-,-,-,-,-,-,-,-,-,-,1,1967,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,1,1969,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,1,1977,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,1,1983,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,1,1986,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,1,1987,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,1,1988,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,1,1991,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,1,1995,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,1,1997,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,1,2003,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,1,2014,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,1,2016,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,1,2018,-,-,-,-
37,-,-,-,-,-,-,-,-,-,-,1,2022,-,-,-,-
38,-,-,-,-,-,-,-,-,-,-,1,2023,-,-,-,-
39,-,-,-,-,-,-,-,-,-,-,1,2024,-,-,-,-
