Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,-,-,-,-,-,-,-,-,5,1995,-,-,28,1995
2,-,-,-,-,-,-,-,-,-,-,2,1964,-,-,15,1996
3,-,-,-,-,-,-,-,-,-,-,2,1966,-,-,12,2002
4,-,-,-,-,-,-,-,-,-,-,2,1988,-,-,11,2022
5,-,-,-,-,-,-,-,-,-,-,2,1996,-,-,10,1966
6,-,-,-,-,-,-,-,-,-,-,2,2005,-,-,8,2005
7,-,-,-,-,-,-,-,-,-,-,1,1970,-,-,7,2011
8,-,-,-,-,-,-,-,-,-,-,1,1987,-,-,6,2023
9,-,-,-,-,-,-,-,-,-,-,1,1999,-,-,5,1970
10,-,-,-,-,-,-,-,-,-,-,1,2002,-,-,4,1988
11,-,-,-,-,-,-,-,-,-,-,1,2007,-,-,3,1964
12,-,-,-,-,-,-,-,-,-,-,1,2011,-,-,2,1999
13,-,-,-,-,-,-,-,-,-,-,1,2022,-,-,1,1987
14,-,-,-,-,-,-,-,-,-,-,1,2023,-,-,1,2007
