Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,6,2003,-,-,27,2003,-,-,1,1988,-,-,2,1988
2,-,-,5,1955,-,-,26,2014,-,-,-,-,-,-,-,-
3,-,-,3,1956,-,-,22,1955,-,-,-,-,-,-,-,-
4,-,-,3,1974,-,-,22,1974,-,-,-,-,-,-,-,-
5,-,-,3,1996,-,-,16,1996,-,-,-,-,-,-,-,-
6,-,-,2,1967,-,-,13,1956,-,-,-,-,-,-,-,-
7,-,-,2,1995,-,-,11,1995,-,-,-,-,-,-,-,-
8,-,-,2,2014,-,-,10,1962,-,-,-,-,-,-,-,-
9,-,-,1,1953,-,-,10,1967,-,-,-,-,-,-,-,-
10,-,-,1,1962,-,-,6,2008,-,-,-,-,-,-,-,-
11,-,-,1,1965,-,-,4,1953,-,-,-,-,-,-,-,-
12,-,-,1,1976,-,-,4,1965,-,-,-,-,-,-,-,-
13,-,-,1,1980,-,-,3,2019,-,-,-,-,-,-,-,-
14,-,-,1,1989,-,-,1,1976,-,-,-,-,-,-,-,-
15,-,-,1,2007,-,-,1,1980,-,-,-,-,-,-,-,-
16,-,-,1,2008,-,-,1,1989,-,-,-,-,-,-,-,-
17,-,-,1,2019,-,-,1,2007,-,-,-,-,-,-,-,-
