Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,1,2011/12,35,1995/96,1,2011/12,383,1995/96,-,-,-,-,-,-,-,-
2,2,1982/83,33,2013/14,6,1982/83,318,1965/66,-,-,-,-,-,-,-,-
3,2,1986/87,32,1965/66,8,2001/02,263,1981/82,-,-,-,-,-,-,-,-
4,2,1997/98,31,2021/22,13,1986/87,244,2013/14,-,-,-,-,-,-,-,-
5,3,2001/02,29,1964/65,13,2015/16,243,1964/65,-,-,-,-,-,-,-,-
6,4,1991/92,27,1961/62,15,2023/24,230,1961/62,-,-,-,-,-,-,-,-
7,4,2005/06,27,1973/74,21,1999/00,217,1966/67,-,-,-,-,-,-,-,-
8,4,2015/16,26,1958/59,22,1997/98,213,1973/74,-,-,-,-,-,-,-,-
9,4,2023/24,25,1966/67,22,2019/20,207,1962/63,-,-,-,-,-,-,-,-
10,5,1959/60,25,1978/79,23,2009/10,203,1993/94,-,-,-,-,-,-,-,-
11,5,2019/20,25,1981/82,25,2005/06,199,2021/22,-,-,-,-,-,-,-,-
12,6,1974/75,23,1976/77,26,1991/92,189,1967/68,-,-,-,-,-,-,-,-
13,6,2009/10,22,1956/57,30,1957/58,185,1969/70,-,-,-,-,-,-,-,-
14,6,2025/26,22,1968/69,30,1985/86,185,1990/91,-,-,-,-,-,-,-,-
15,7,1980/81,20,1970/71,31,1980/81,184,1958/59,-,-,-,-,-,-,-,-
16,7,1999/00,20,1993/94,36,2016/17,180,1956/57,-,-,-,-,-,-,-,-
17,7,2016/17,20,2007/08,38,1959/60,172,1971/72,-,-,-,-,-,-,-,-
18,8,1957/58,19,1953/54,40,1994/95,172,2007/08,-,-,-,-,-,-,-,-
19,9,1998/99,19,1955/56,40,2010/11,164,1968/69,-,-,-,-,-,-,-,-
20,9,2012/13,19,1962/63,44,1998/99,158,1976/77,-,-,-,-,-,-,-,-
21,-,-,19,1971/72,-,-,-,-,-,-,-,-,-,-,-,-
22,-,-,19,1990/91,-,-,-,-,-,-,-,-,-,-,-,-
23,-,-,19,1996/97,-,-,-,-,-,-,-,-,-,-,-,-
