Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,1,2012,39,1996,1,2012,414,1996,0,1956,9,1995,0,1956,43,2007
2,2,1987,34,1966,8,2002,328,1966,0,1959,8,2007,0,1959,41,1995
3,3,2001,32,2022,13,1987,259,1982,0,1962,8,2015,0,1962,28,2005
4,3,2002,25,1962,15,2001,248,1967,0,1968,6,1966,0,1968,27,1966
5,3,2006,25,1967,15,2018,240,1963,0,1971,5,1955,0,1971,26,1955
6,4,1998,24,1963,19,2010,221,1962,0,1972,5,1964,0,1972,25,2001
7,4,2020,24,1982,20,1981,215,1965,0,1974,5,1983,0,1974,23,1983
8,5,1981,24,2008,21,2020,200,2008,0,1979,5,2005,0,1979,22,1975
9,5,1986,23,1974,22,1986,196,1994,0,1980,5,2010,0,1980,21,2011
10,5,2010,23,1979,24,2006,190,1970,0,1982,5,2012,0,1982,20,2002
11,5,2018,23,2014,26,1998,190,2014,0,1985,4,1988,0,1985,19,1989
12,6,2016,21,1957,26,2016,186,1968,0,1990,4,1989,0,1990,19,2015
13,6,2024,21,1965,29,2024,186,1972,0,1992,4,2003,0,1992,19,2022
14,7,1960,21,1972,38,2011,183,1989,0,1993,3,1960,0,1993,16,2012
15,7,2023,21,2013,41,1993,177,2004,0,1994,3,1969,0,1994,15,1996
16,8,1993,20,1956,41,2023,177,2022,0,2004,3,1975,0,2004,14,2010
17,9,1991,20,1976,42,1960,175,1957,0,2008,3,2001,0,2008,14,2018
18,9,1999,20,1989,44,1964,169,1974,0,2009,3,2002,0,2009,13,1998
19,10,1953,20,2004,49,1991,158,1977,0,2017,3,2011,0,2017,12,1969
20,10,1983,19,1959,51,1999,157,2021,0,2019,2,1957,0,2019,11,1981
21,10,1992,19,1977,-,-,-,-,0,2025,2,1963,0,2025,-,-
22,10,1997,19,2003,-,-,-,-,-,-,2,1981,-,-,-,-
23,10,2005,19,2007,-,-,-,-,-,-,2,1987,-,-,-,-
24,10,2011,-,-,-,-,-,-,-,-,2,1991,-,-,-,-
25,10,2015,-,-,-,-,-,-,-,-,2,1996,-,-,-,-
26,10,2025,-,-,-,-,-,-,-,-,2,1998,-,-,-,-
27,-,-,-,-,-,-,-,-,-,-,2,2006,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,2,2013,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,2,2018,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,2,2020,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,2,2021,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,2,2022,-,-,-,-
33,-,-,-,-,-,-,-,-,-,-,2,2023,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,2,2024,-,-,-,-
